1992 US Presidential Election,Bush,Clinton,Perot,
Adair,1713,1655,814,
Adams,863,1034,679,
Allamakee,2627,2362,1543,
Appanoose,2346,2810,1161,
Audubon,1373,1589,887,
Benton,3469,4467,2454,
Black Hawk,21398,29584,10182,
Boone,4148,5913,2070,
Bremer,4482,4774,2338,
Buchanan,3313,4166,2126,
Buena Vista,3863,3374,1955,
Butler,3209,2548,1333,
Calhoun,2169,2140,946,
Carroll,3439,3800,2192,
Cass,3176,2231,1608,
Cedar,2965,3296,1945,
Cerro Gordo,8250,11415,4498,
Cherokee,2768,2590,1503,
Chickasaw,2129,2913,1566,
Clarke,1417,1921,899,
Clay,3011,3346,1964,
Clayton,3044,3742,2309,
Clinton,8746,11683,4414,
Crawford,2693,3004,1905,
Dallas,5587,6554,2665,
Davis,1344,1962,718,
Decatur,1316,1866,786,
Delaware,3195,3093,2144,
Des Moines,6378,11309,3386,
Dickinson,3196,3106,1974,
Dubuque,14007,20539,8208,
Emmet,1749,2239,1010,
Fayette,3879,4412,2493,
Floyd,2404,3688,1611,
Franklin,2137,2049,1045,
Fremont,1459,1422,1003,
Greene,1952,2422,956,
Grundy,3160,1895,1069,
Guthrie,1962,2234,1216,
Hamilton,3031,3262,1348,
Hancock,2428,2175,1170,
Hardin,3590,3792,1547,
Harrison,2763,2349,1691,
Henry,3435,3544,1522,
Howard,1516,2099,1193,
Humboldt,2299,1765,1093,
Ida,1714,1449,1061,
Iowa,2656,2560,1709,
Jackson,2673,4421,2096,
Jasper,6866,8120,2972,
Jefferson,2541,2562,1241,
Johnson,14041,28656,8625,
Jones,3071,3508,2306,
Keokuk,1981,2329,1238,
Kossuth,3464,3660,1906,
Lee,4777,9366,2920,
Linn,30215,38567,19643,
Louisa,1691,2091,1044,
Lucas,1734,2072,848,
Lyon,3272,1331,1068,
Madison,2421,2525,1168,
Mahaska,4953,3714,1508,
Marion,6062,5531,1896,
Marshall,6784,8303,3100,
Mills,2699,1798,1638,
Mitchell,1933,2177,1199,
Monona,1660,1939,1231,
Monroe,1323,1829,612,
Montgomery,2404,1599,1341,
Muscatine,6087,7089,3583,
O'Brien,3869,2122,1557,
Osceola,1756,990,813,
Page,3670,1951,1669,
Palo Alto,1789,2374,1186,
Plymouth,5196,3171,2039,
Pocahontas,1743,1919,942,
Polk,63708,78585,24155,
Pottawattamie,15671,13228,8035,
Poweshiek,3245,4056,1680,
Ringgold,967,1341,551,
Sac,2138,1896,1157,
Scott,28844,33765,11423,
Shelby,2809,2094,1614,
Sioux,10637,2226,1771,
Story,12702,17118,6275,
Tama,2948,3573,1748,
Taylor,1200,1430,910,
Union,2224,2565,1280,
Van Buren,1418,1464,811,
Wapello,4852,8670,2513,
Warren,7242,8612,3217,
Washington,3576,3384,1994,
Wayne,1299,1632,642,
Webster,6992,8562,3272,
Winnebago,2407,2322,1329,
Winneshiek,3331,3791,2416,
Woodbury,18148,17398,7182,
Worth,1382,2009,1044,
Wright,2708,2776,1151,
