2000 US Presidential Election,Bush,Gore,Nader,
Atlantic,35593,52880,2188,
Bergen,152731,202682,9688,
Burlington,72254,99506,4894,
Camden,62464,127166,6124,
Cape May,23794,22189,1291,
Cumberland,18882,28188,1004,
Essex,66842,185505,5641,
Gloucester,42315,61095,3196,
Hudson,43804,118206,4436,
Hunterdon,32210,21387,2459,
Mercer,46670,83256,4561,
Middlesex,93545,154998,8934,
Monmouth,119291,131476,9059,
Morris,111066,88039,6333,
Ocean,105684,102104,7354,
Passaic,61043,90324,3752,
Salem,12257,13718,714,
Somerset,59725,56232,3776,
Sussex,33277,21353,2399,
Union,68554,112003,4945,
Warren,22172,16543,1806,
