2004 US Presidential Election,Bush,Kerry,Other,
Acadia,16083,8937,210,
Allen,5140,3791,193,
Ascension,24661,13955,484,
Assumption,4966,5585,184,
Avoyelles,8302,6976,247,
Beauregard,9470,3666,145,
Bienville,3612,3399,146,
Bossier,30040,12317,348,
Caddo,54292,51739,564,
Calcasieu,46075,32864,759,
Caldwell,3308,1384,60,
Cameron,3190,1367,83,
Catahoula,3219,1673,62,
Claiborne,3704,2854,72,
Concordia,5427,3446,107,
De Soto,6211,5026,99,
East Baton Rouge,99943,82298,1401,
East Carroll,1357,1980,58,
East Feliciana,5021,4091,89,
Evangeline,7949,5757,273,
Franklin,6141,2828,134,
Grant,5911,1977,103,
Iberia,19420,12426,427,
Iberville,6333,8259,235,
Jackson,5038,2525,84,
Jefferson,117882,72136,1645,
Jefferson Davis,8055,4745,207,
Lafayette,57732,31210,981,
Lafourche,22734,14417,713,
La Salle,5015,1155,68,
Lincoln,10791,7242,185,
Livingston,33976,9895,382,
Madison,2291,2334,48,
Morehouse,7471,5336,164,
Natchitoches,9261,7398,307,
Orleans,42847,152610,1646,
Ouachita,41750,22016,678,
Plaquemines,7866,4181,106,
Pointe Coupee,5429,5712,130,
Rapides,34492,18904,673,
Red River,2507,2140,70,
Richland,5471,3082,112,
Sabine,6711,2743,122,
St. Bernard,19597,9956,285,
St. Charles,14747,8856,234,
St. Helena,2235,3173,100,
St. James,4545,6407,156,
St. John the Baptist,9039,10305,273,
St. Landry,18315,18166,279,
St. Martin,12095,10321,408,
St. Mary,12877,9547,270,
St. Tammany,75139,24665,788,
Tangipahoa,26181,15345,609,
Tensas,1453,1469,41,
Terrebonne,26358,13684,532,
Union,7457,3089,172,
Vermilion,15069,9085,398,
Vernon,11032,4035,162,
Washington,11006,6554,281,
Webster,11070,6833,546,
West Baton Rouge,5822,4932,81,
West Carroll,3740,1231,62,
West Feliciana,2932,2214,72,
Winn,4366,2056,85,
