1988 US Presidential Election,Bush,Dukakis,Other,
Alameda,162815,310283,5899,
Alpine,306,230,16,
Amador,6893,5197,248,
Butte,40143,30406,1082,
Calaveras,7640,5674,260,
Colusa,3077,2022,73,
Contra Costa,158652,169411,3448,
Del Norte,3714,3587,167,
El Dorado,30021,19801,781,
Fresno,94835,92635,2400,
Glenn,4944,2894,128,
Humboldt,21460,29781,905,
Imperial,12889,10243,233,
Inyo,5042,2653,142,
Kern,90550,55083,1660,
Kings,12118,9142,222,
Lake,9366,9828,308,
Lassen,5157,3446,199,
Los Angeles,1239716,1372352,32603,
Madera,13255,10642,384,
Marin,46855,69394,1671,
Mariposa,3768,2998,144,
Mendocino,12979,17152,816,
Merced,21717,20105,592,
Modoc,2518,1416,83,
Mono,2177,1284,86,
Monterey,50022,48998,1361,
Napa,23235,22283,772,
Nevada,21383,14980,660,
Orange,586230,269013,10064,
Placer,42096,27516,1030,
Plumas,4603,4251,161,
Riverside,199979,133122,3247,
Sacramento,201832,188557,5301,
San Benito,5578,4559,171,
San Bernardino,235167,151118,5723,
San Diego,523143,333264,12788,
San Francisco,72503,201887,3004,
San Joaquin,75309,61699,1445,
San Luis Obispo,46613,35667,1187,
San Mateo,109261,141859,3360,
Santa Barbara,77524,63586,1830,
Santa Clara,254442,277810,9276,
Santa Cruz,37728,63133,1750,
Shasta,32402,21171,1012,
Sierra,860,791,45,
Siskiyou,9056,8365,376,
Solano,50314,54344,1430,
Sonoma,67725,91262,2596,
Stanislaus,51648,44685,982,
Sutter,14100,6557,241,
Tehama,9854,7213,367,
Trinity,3267,2518,195,
Tulare,46891,30711,1067,
Tuolumne,10646,8717,352,
Ventura,147604,89065,2804,
Yolo,22358,30429,585,
Yuba,8937,5444,182,
