1992 US Presidential Election,Bush,Clinton,Perot,
Alabama,804283,690080,183109,
Alaska,102000,78294,73481,
Arizona,572086,543050,353741,
Arkansas,337324,505823,99132,
California,3630574,5121325,2296006,
Colorado,562850,629681,366010,
Connecticut,578313,682318,348771,
Delaware,102313,126054,59213,
District of Columbia,20698,192619,9681,
Florida,2173310,2072698,1053067,
Georgia,995252,1008966,309657,
Hawaii,136822,179310,53003,
Idaho,202645,137013,130395,
Illinois,1734096,2453350,840515,
Indiana,989375,848420,455934,
Iowa,504891,586353,253468,
Kansas,449951,390434,312358,
Kentucky,617178,665104,203944,
Louisiana,733386,815971,211478,
Maine,206504,263420,206820,
Maryland,707094,988571,281414,
Massachusetts,805049,1318662,632312,
Michigan,1554940,1871182,824813,
Minnesota,747841,1020997,562506,
Mississippi,487793,400258,85626,
Missouri,811159,1053873,518741,
Montana,144207,154507,107225,
Nebraska,344346,217344,174687,
Nevada,175828,189148,132580,
New Hampshire,202484,209040,121337,
New Jersey,1356865,1436206,521829,
New Mexico,212824,261617,91895,
New York,2346649,3444450,1090721,
North Carolina,1134661,1114042,357864,
North Dakota,136244,99168,71084,
Ohio,1894310,1984942,1036426,
Oklahoma,592929,473066,319878,
Oregon,475757,621314,354091,
Pennsylvania,1791841,2239164,902667,
Rhode Island,131601,213299,105045,
South Carolina,577507,479514,138872,
South Dakota,136718,124888,73295,
Tennessee,841300,933521,199968,
Texas,2496071,2281815,1354781,
Utah,322632,183429,203400,
Vermont,88122,133592,65991,
Virginia,1150517,1038650,348639,
Washington,731234,993037,541780,
West Virginia,241974,331001,108829,
Wisconsin,930855,1041066,544479,
Wyoming,79347,68160,51263,
