1980 US Presidential Election,Reagan,Carter,Anderson,
Atlantic,37973,31286,5582,
Bergen,232043,139474,38242,
Burlington,68415,50083,11314,
Camden,87939,80033,16125,
Cape May,22729,12708,2550,
Cumberland,23242,19356,3253,
Essex,117222,145281,21271,
Gloucester,40306,29804,7533,
Hudson,91207,95622,8941,
Hunterdon,21403,10029,3610,
Mercer,53450,60888,12117,
Middlesex,122354,97304,17463,
Monmouth,120173,71328,17444,
Morris,105260,48965,17181,
Ocean,98433,46923,10073,
Passaic,82531,61486,9385,
Salem,13000,10209,1800,
Somerset,52591,29470,8346,
Sussex,27063,10531,3988,
Union,112288,86074,15586,
Warren,16935,10510,2828,
