2004 US Presidential Election,Bush,Kerry,Other,
Baker,6253,2616,165,
Benton,18460,26515,760,
Clackamas,97691,95129,2180,
Clatsop,8503,10461,345,
Columbia,11868,12563,486,
Coos,18291,14393,678,
Crook,6830,3024,197,
Curry,7332,5220,247,
Deschutes,41757,31179,1112,
Douglas,35956,18089,939,
Gilliam,755,370,13,
Grant,3204,780,77,
Harney,2815,839,48,
Hood River,4124,5587,148,
Jackson,56519,44366,1304,
Jefferson,4762,3243,110,
Josephine,26241,15214,820,
Klamath,22733,8264,518,
Lake,3039,802,64,
Lane,75007,107769,3096,
Lincoln,10160,13753,412,
Linn,31260,19940,841,
Malheur,8123,2577,146,
Marion,69900,57671,2048,
Morrow,2732,1361,56,
Multnomah,98439,259585,4670,
Polk,19508,15484,497,
Sherman,694,390,20,
Tillamook,7003,6750,198,
Umatilla,17068,8884,370,
Union,8879,4428,212,
Wallowa,3132,1269,120,
Wasco,6119,5691,192,
Washington,107223,121140,2945,
Wheeler,612,245,23,
Yamhill,23839,17572,731,
