1992 US Presidential Election,Bush,Clinton,Perot,
Appling,2514,2455,1047,
Atkinson,779,1056,342,
Bacon,1301,1423,604,
Baker,391,864,210,
Baldwin,4262,5813,1679,
Banks,1551,1530,583,
Barrow,4328,3991,1633,
Bartow,7742,6675,2500,
Ben Hill,1476,2348,619,
Berrien,1637,2103,796,
Bibb,19847,28070,6021,
Bleckley,1570,1710,662,
Brantley,1541,1883,840,
Brooks,1779,1895,630,
Bryan,2789,2031,1095,
Bulloch,5690,4903,2020,
Burke,2390,3647,807,
Butts,1768,2448,619,
Calhoun,464,1301,248,
Camden,3517,2952,1077,
Candler,1014,1192,541,
Carroll,10750,8404,3358,
Catoosa,7599,4817,2290,
Charlton,1333,1127,427,
Chatham,31925,31533,8269,
Chattahoochee,413,604,177,
Chattooga,2439,2976,965,
Cherokee,16054,8113,4950,
Clarke,10459,15403,2987,
Clay,264,778,155,
Clayton,23965,25890,7942,
Clinch,790,759,286,
Cobb,103734,63960,28747,
Coffee,3778,3275,1256,
Colquitt,4680,3891,1682,
Columbia,16657,7115,4379,
Cook,1318,1731,537,
Coweta,9814,7093,3587,
Crawford,974,1648,549,
Crisp,2253,2610,823,
Dade,2191,1782,823,
Dawson,1696,1399,790,
Decatur,3142,3198,1068,
DeKalb,70282,124559,19741,
Dodge,2287,3002,978,
Dooly,1034,1993,350,
Dougherty,12455,15236,3178,
Douglas,13349,8869,4362,
Early,1457,1970,652,
Echols,361,312,238,
Effingham,3814,2690,1443,
Elbert,2372,3025,757,
Emanuel,2662,2951,755,
Evans,1244,1230,480,
Fannin,3255,2902,1028,
Fayette,17576,8430,5598,
Floyd,12378,11614,3779,
Forsyth,8652,4936,3453,
Franklin,2391,2505,1014,
Fulton,85451,147459,23578,
Gilmer,2661,2311,879,
Glascock,516,316,180,
Glynn,11242,8581,3053,
Gordon,5265,4103,1818,
Grady,2370,2520,1126,
Greene,1307,2259,483,
Gwinnett,81822,44253,23926,
Habersham,4569,3098,1444,
Hall,16108,11214,5043,
Hancock,506,2461,189,
Haralson,3142,3281,1167,
Harris,3316,2679,954,
Hart,2607,3614,1376,
Heard,1190,1456,617,
Henry,12634,7817,3769,
Houston,14119,12270,6263,
Irwin,973,1366,465,
Jackson,3976,3792,1381,
Jasper,1153,1485,373,
Jeff Davis,1947,2031,958,
Jefferson,2077,3220,685,
Jenkins,929,1401,394,
Johnson,1314,1473,502,
Jones,2770,3338,1159,
Lamar,1707,2065,600,
Lanier,600,811,298,
Laurens,6146,6184,1602,
Lee,3061,1811,1024,
Liberty,2832,3853,1176,
Lincoln,1149,1327,479,
Long,719,874,355,
Lowndes,10276,9019,2864,
Lumpkin,1972,2010,1035,
McDuffie,2955,2640,860,
McIntosh,1027,1925,550,
Macon,944,2491,363,
Madison,3351,2393,1129,
Marion,711,1145,198,
Meriwether,2364,4002,942,
Miller,826,934,455,
Mitchell,1917,3052,818,
Monroe,2423,2774,949,
Montgomery,1009,1185,416,
Morgan,1797,2057,596,
Murray,3256,2764,1186,
Muscogee,21386,25476,4327,
Newton,5804,5811,1998,
Oconee,4125,2745,1182,
Oglethorpe,1590,1491,620,
Paulding,7180,5212,2654,
Peach,2327,3677,947,
Pickens,2332,2359,1037,
Pierce,1899,1852,708,
Pike,1822,1651,623,
Polk,4158,4872,1598,
Pulaski,1075,1756,614,
Putnam,1756,2149,775,
Quitman,284,523,113,
Rabun,1902,1878,825,
Randolph,887,1756,315,
Richmond,24227,28910,6290,
Rockdale,11945,7003,3664,
Schley,511,601,180,
Screven,1705,1940,709,
Seminole,850,1193,468,
Spalding,7262,6392,2044,
Stephens,4047,2976,1448,
Stewart,1186,1540,175,
Sumter,3616,4489,1046,
Talbot,671,1768,238,
Taliaferro,269,755,80,
Tattnall,2566,2360,996,
Taylor,1078,1508,281,
Telfair,1324,2238,613,
Terrell,1143,1942,384,
Thomas,5500,4841,1591,
Tift,4485,3930,1139,
Toombs,3609,2648,1210,
Towns,1674,1487,537,
Treutlen,898,1116,318,
Troup,8118,6412,2488,
Turner,936,1669,370,
Twiggs,853,2097,432,
Union,2533,2304,804,
Upson,4053,3740,1186,
Walker,8489,6217,2748,
Walton,5619,4821,1923,
Ware,4573,4573,1263,
Warren,751,1239,180,
Washington,2384,3508,820,
Wayne,3381,3052,1107,
Webster,208,600,103,
Wheeler,601,880,214,
White,2477,1756,981,
Whitfield,12003,7335,2866,
Wilcox,916,1365,433,
Wilkes,1535,1955,464,
Wilkinson,1232,2286,520,
Worth,2344,2578,905,
