1980 US Presidential Election,Reagan,Carter,Anderson,
District 1,3473,1772,440,
District 2,1612,1256,329,
District 3,2019,1354,346,
District 4,5345,3899,1282,
District 5,2847,973,288,
District 6,5008,1316,402,
District 7,4311,2620,676,
District 8,7432,2860,737,
District 9,2363,1164,342,
District 10,7659,2778,849,
District 11,9741,3308,1016,
District 12,7450,2456,829,
District 13,6170,1806,479,
District 14,1473,844,254,
District 15,832,710,213,
District 16,869,1083,204,
District 17,720,1623,280,
District 18,769,1327,193,
District 19,2255,1168,267,
District 20,11673,5310,1304,
District 21,1010,1022,223,
District 22,1081,1193,202,
