1996 US Presidential Election,Dole,Clinton,Perot,
Albany,39785,85993,11957,
Allegany,8107,6621,2730,
Bronx,30435,248276,7186,
Broome,31327,44407,9114,
Cattaraugus,12971,13029,5151,
Cayuga,11093,15879,4420,
Chautauqua,21261,26831,7484,
Chemung,14287,16977,3967,
Chenango,7319,8797,2822,
Clinton,9759,15386,3488,
Columbia,10324,12910,3466,
Cortland,7606,9130,2398,
Delaware,7684,8724,2601,
Dutchess,41929,47339,12294,
Erie,132343,224554,45679,
Essex,6379,7893,2363,
Franklin,5072,8494,2499,
Fulton,7881,9779,3214,
Genesee,10821,10074,2996,
Greene,8712,8251,2790,
Hamilton,1841,1228,492,
Herkimer,10085,11910,4235,
Jefferson,12362,16783,4561,
Kings,81406,432232,15031,
Lewis,3965,4402,1669,
Livingston,10981,10868,2889,
Madison,11324,11832,3379,
Monroe,115694,164858,23936,
Montgomery,7172,10485,3253,
Nassau,196820,303587,36122,
New York,67839,394131,11144,
Niagara,31438,44203,12564,
Oneida,37996,44399,11296,
Onondaga,73771,100190,17602,
Ontario,17237,19156,4391,
Orange,45956,54995,11778,
Orleans,6865,6233,1986,
Oswego,17159,20440,7499,
Otsego,8774,11470,3217,
Putnam,17452,16173,4032,
Queens,107650,372925,22288,
Rensselaer,23482,34273,8405,
Richmond,52207,64684,8968,
Rockland,40395,63127,6798,
St. Lawrence,10827,21798,5309,
Saratoga,34337,39832,10141,
Schenectady,22106,35404,7865,
Schoharie,5353,5902,1796,
Schuyler,3134,3303,1037,
Seneca,5004,6825,1889,
Steuben,17710,14481,5496,
Suffolk,182510,261828,52209,
Sullivan,9321,15052,3453,
Tioga,9416,8769,2721,
Tompkins,11532,20772,2623,
Ulster,26212,35852,9246,
Warren,11152,11603,3623,
Washington,8954,9572,3648,
Wayne,15837,15145,4619,
Westchester,123719,196310,18028,
Wyoming,7477,5735,2411,
Yates,3925,4066,1190,
