1976 US Presidential Election,Ford,Carter,Other,
Albany,69592,71616,1185,
Allegany,11769,6134,107,
Bronx,96842,238786,1763,
Broome,50340,39827,491,
Cattaraugus,19469,13768,185,
Cayuga,19775,13348,220,
Chautauqua,33730,27447,259,
Chemung,20640,17207,179,
Chenango,12384,7356,97,
Clinton,15433,11555,115,
Columbia,15871,10514,189,
Cortland,11222,6947,131,
Delaware,12443,7254,130,
Dutchess,51312,37531,1249,
Erie,220310,229397,3136,
Essex,10194,6556,74,
Franklin,8846,7248,58,
Fulton,12161,9323,145,
Genesee,14567,10803,166,
Greene,11370,7740,154,
Hamilton,2306,1052,12,
Herkimer,15362,12875,140,
Jefferson,20401,13503,124,
Kings,190728,419382,3533,
Lewis,5840,3764,29,
Livingston,14044,9629,146,
Madison,15674,8822,95,
Monroe,167303,134739,1392,
Montgomery,13281,11271,182,
Nassau,329176,302869,3711,
New York,117702,337438,5698,
Niagara,46101,43667,471,
Oneida,57655,47779,554,
Onondaga,115474,76097,1043,
Ontario,21118,14044,278,
Orange,49685,40362,626,
Orleans,8994,5927,102,
Oswego,23949,16332,182,
Otsego,14796,9787,171,
Putnam,18523,11963,225,
Queens,244396,379907,3210,
Rensselaer,40229,28979,445,
Richmond,56995,47867,464,
Rockland,52087,48673,780,
St. Lawrence,22249,17503,182,
Saratoga,38296,23768,422,
Schenectady,40789,31838,2105,
Schoharie,7154,5250,111,
Schuyler,4267,2885,37,
Seneca,7659,5745,104,
Steuben,23164,14685,166,
Suffolk,248908,208263,2877,
Sullivan,13709,14189,198,
Tioga,11824,6969,100,
Tompkins,15463,12808,400,
Ulster,35353,30190,552,
Warren,14548,7264,100,
Washington,13946,7262,116,
Wayne,19324,12061,161,
Westchester,208527,173153,2451,
Wyoming,9726,5737,76,
Yates,5796,2903,43,
