1968 US Presidential Election,Nixon,Humphrey,Wallace,
Adair,4624,2645,592,
Andrew,3398,2005,359,
Atchison,2206,1752,337,
Audrain,5005,4806,1012,
Barry,5537,3398,758,
Barton,2928,1832,499,
Bates,4087,3370,801,
Benton,2899,1345,498,
Bollinger,2283,1693,583,
Boone,11917,11771,2015,
Buchanan,16101,15860,2752,
Butler,6326,4379,2759,
Caldwell,2631,1490,430,
Callaway,4277,3738,1276,
Camden,3500,1605,633,
Cape Girardeau,10298,6656,2351,
Carroll,3680,2473,645,
Carter,861,738,289,
Cass,5271,4468,1938,
Cedar,2940,1218,430,
Chariton,2404,2371,509,
Christian,4019,1586,633,
Clark,2111,1489,342,
Clay,19643,17547,6972,
Clinton,2659,2525,619,
Cole,11575,5916,1625,
Cooper,4115,2798,530,
Crawford,3525,2123,671,
Dade,2250,917,330,
Dallas,2835,1237,465,
Daviess,2288,1676,334,
DeKalb,2112,1452,285,
Dent,2369,1810,469,
Douglas,2836,978,412,
Dunklin,4366,5063,2903,
Franklin,9823,7566,1960,
Gasconade,4400,1131,364,
Gentry,2286,2189,216,
Greene,32638,19659,6751,
Grundy,3213,1976,419,
Harrison,3092,1688,412,
Henry,3824,3514,682,
Hickory,1484,537,209,
Holt,2031,1211,379,
Howard,1825,2333,507,
Howell,5631,2763,1444,
Iron,1600,1755,491,
Jackson,91086,112154,28980,
Jasper,16794,10987,3181,
Jefferson,11708,13230,6115,
Johnson,4834,3484,1018,
Knox,1562,1257,350,
Laclede,4860,2958,852,
Lafayette,6840,4859,1105,
Lawrence,6834,3710,898,
Lewis,2038,2067,537,
Lincoln,3185,3142,1297,
Linn,3795,3933,513,
Livingston,3827,3467,518,
McDonald,3025,2188,681,
Macon,3804,3462,821,
Madison,2164,1521,615,
Maries,1438,1185,403,
Marion,4732,5416,1221,
Mercer,1406,783,125,
Miller,4425,1727,668,
Mississippi,1421,2303,1575,
Moniteau,3210,1687,586,
Monroe,1349,2776,516,
Montgomery,2903,1891,623,
Morgan,2906,1649,504,
New Madrid,2317,4195,2984,
Newton,7343,5064,1481,
Nodaway,4736,4494,615,
Oregon,1213,1726,625,
Osage,3107,1540,394,
Ozark,1967,606,304,
Pemiscot,2191,2681,2950,
Perry,3858,1958,462,
Pettis,6738,6334,1549,
Phelps,5577,4211,1995,
Pike,3072,3192,803,
Platte,4836,4665,1815,
Polk,4145,2170,614,
Pulaski,2555,2303,718,
Putnam,1971,952,169,
Ralls,1175,1900,478,
Randolph,3582,4810,893,
Ray,2587,3541,1078,
Reynolds,898,1245,438,
Ripley,1973,1440,677,
St. Charles,13533,10374,5752,
St. Clair,2271,1496,411,
Ste. Genevieve,1937,2225,440,
St. Francois,7492,6379,1867,
St. Louis,180355,165786,39234,
Saline,4698,4646,704,
Schuyler,1291,969,168,
Scotland,1554,1340,210,
Scott,3856,4313,2474,
Shannon,1048,1216,446,
Shelby,1693,2045,358,
Stoddard,3919,3150,1751,
Stone,3006,1004,455,
Sullivan,2332,1907,225,
Taney,3289,1219,414,
Texas,4022,3117,981,
Vernon,3590,3557,783,
Warren,2669,1033,565,
Washington,2641,2292,776,
Wayne,2156,1714,641,
Webster,4118,2547,572,
Worth,924,853,126,
Wright,3576,1337,487,
St. Louis,58252,143010,19652,
