1968 US Presidential Election,Nixon,Humphrey,Wallace,
Appling,795,760,2678,
Atkinson,288,686,1554,
Bacon,586,279,1935,
Baker,99,548,1067,
Baldwin,2318,2109,2678,
Banks,398,296,1434,
Barrow,1372,1070,2731,
Bartow,2045,2149,4052,
Ben Hill,661,876,1833,
Berrien,566,451,2810,
Bibb,13490,10579,17328,
Bleckley,756,396,2458,
Brantley,237,317,1709,
Brooks,589,787,2404,
Bryan,381,560,1428,
Bulloch,2113,1788,3953,
Burke,1416,1676,1802,
Butts,584,959,1490,
Calhoun,234,697,979,
Camden,751,1146,1988,
Candler,552,587,1624,
Carroll,3135,2326,6509,
Catoosa,2043,901,6449,
Charlton,332,455,1157,
Chatham,18106,18201,17238,
Chattahoochee,70,148,303,
Chattooga,1087,1255,3024,
Cherokee,2675,1434,3351,
Clarke,5800,5543,3452,
Clay,133,516,608,
Clayton,8256,3510,11665,
Clinch,304,334,1142,
Cobb,18649,8755,17805,
Coffee,1241,1331,3785,
Colquitt,1882,1119,6325,
Columbia,1636,905,2207,
Cook,521,603,2438,
Coweta,2442,1204,3791,
Crawford,246,489,886,
Crisp,935,1017,3271,
Dade,613,282,2460,
Dawson,509,246,845,
Decatur,749,1729,4576,
DeKalb,52485,27796,23954,
Dodge,1055,1230,3406,
Dooly,454,879,1803,
Dougherty,5611,3831,9317,
Douglas,1848,1242,4159,
Early,327,785,2797,
Echols,53,56,533,
Effingham,769,635,2561,
Elbert,914,1216,3252,
Emanuel,1297,1508,3307,
Evans,543,492,1475,
Fannin,3475,1229,1188,
Fayette,867,551,1888,
Floyd,7470,4036,10001,
Forsyth,1389,647,2397,
Franklin,716,766,2691,
Fulton,64153,77847,36995,
Gilmer,2074,690,1259,
Glascock,185,47,733,
Glynn,3725,3247,5341,
Gordon,1815,1161,3077,
Grady,561,1425,3817,
Greene,652,1635,1223,
Gwinnett,5350,3226,8909,
Habersham,1611,1070,3008,
Hall,4923,3174,5546,
Hancock,381,2165,1104,
Haralson,1451,771,3251,
Harris,1021,1072,1851,
Hart,586,979,3208,
Heard,303,356,1153,
Henry,2017,2317,3604,
Houston,4285,2831,7339,
Irwin,430,474,1955,
Jackson,1139,1537,3473,
Jasper,456,835,926,
Jeff Davis,577,376,1958,
Jefferson,1227,1899,2090,
Jenkins,574,704,1249,
Johnson,381,446,2041,
Jones,693,1105,1770,
Lamar,575,790,1440,
Lanier,241,277,1024,
Laurens,2738,3451,6649,
Lee,389,673,1201,
Liberty,592,1572,1365,
Lincoln,408,491,1290,
Long,156,574,1037,
Lowndes,3073,2402,5679,
Lumpkin,687,396,1048,
McDuffie,1324,991,1709,
McIntosh,315,943,841,
Macon,598,954,1559,
Madison,600,621,2529,
Marion,186,247,849,
Meriwether,1120,1760,2571,
Miller,249,171,1862,
Mitchell,731,1255,3647,
Monroe,770,1028,1422,
Montgomery,352,503,1433,
Morgan,616,973,1391,
Murray,1278,818,1750,
Muscogee,11193,7591,15804,
Newton,1660,1996,3017,
Oconee,713,414,1405,
Oglethorpe,383,483,1737,
Paulding,977,1023,3054,
Peach,904,1362,1638,
Pickens,1659,677,1392,
Pierce,579,507,2144,
Pike,345,632,1442,
Polk,1729,2007,4240,
Pulaski,595,514,1569,
Putnam,594,972,1177,
Quitman,90,198,459,
Rabun,680,590,1407,
Randolph,502,1028,1438,
Richmond,14993,11770,9532,
Rockdale,1195,1213,2215,
Schley,164,309,619,
Screven,916,1411,1830,
Seminole,201,369,1922,
Spalding,3077,2949,4953,
Stephens,1295,1035,2802,
Stewart,233,489,932,
Sumter,1383,1701,3489,
Talbot,317,510,688,
Taliaferro,232,678,508,
Tattnall,852,957,3405,
Taylor,393,691,1626,
Telfair,720,1038,2502,
Terrell,545,1275,1798,
Thomas,2261,2583,5039,
Tift,1692,1187,3942,
Toombs,1397,896,3405,
Towns,1492,770,589,
Treutlen,474,341,1081,
Troup,3239,2896,6232,
Turner,419,412,1845,
Twiggs,336,812,1167,
Union,1221,974,906,
Upson,1494,1480,3599,
Walker,3664,1930,8725,
Walton,1399,1552,4047,
Ware,2047,2255,5895,
Warren,406,582,767,
Washington,1247,1443,2029,
Wayne,1313,980,3422,
Webster,72,147,494,
Wheeler,251,488,934,
White,762,435,1157,
Whitfield,4828,2723,3954,
Wilcox,381,465,1822,
Wilkes,873,953,1709,
Wilkinson,685,829,1870,
Worth,603,719,3049,
