1992 US Presidential Election,Bush,Clinton,Perot,
District 1,2495,2055,2120,
District 2,2916,2565,2137,
District 3,2447,4064,1424,
District 4,2894,2688,1561,
District 5,1844,2095,1684,
District 6,2345,1546,1748,
District 7,2173,2088,2244,
District 8,2499,1509,2325,
District 9,2349,1540,2368,
District 10,3548,1947,1899,
District 11,2730,2009,2081,
District 12,2999,1831,2039,
District 13,2963,3001,1907,
District 14,3013,1423,1599,
District 15,1842,2389,1591,
District 16,1375,1814,1320,
District 17,2623,1749,1958,
District 18,3629,2483,2134,
District 19,2539,1931,1840,
District 20,2914,2383,1823,
District 21,2437,2386,1693,
District 22,3164,2253,1713,
District 23,2127,1139,1217,
District 24,3441,1876,1930,
District 25,3197,1513,2122,
District 26,2675,1439,2419,
District 27,2757,1625,2401,
District 28,2459,1522,2825,
District 29,2205,3216,2026,
District 30,2434,1860,1912,
District 31,2223,1969,1992,
District 32,2339,1150,1724,
District 33,3100,1712,2278,
District 34,3408,1455,2201,
District 35,2525,1572,2139,
District 36,2081,1748,1322,
District 37,1689,1822,925,
District 38,2011,1897,850,
District 39,1777,1797,860,
District 40,1786,1211,1122,
Federal Absentee,28,22,8,
