1960 US Presidential Election,Nixon,Kennedy,Unpledged,
Acadia,2616,11440,1028,
Allen,1676,3719,820,
Ascension,1012,5689,909,
Assumption,766,3019,426,
Avoyelles,1270,7625,1140,
Beauregard,2432,2903,630,
Bienville,1230,625,1693,
Bossier,3429,2198,3093,
Caddo,25139,11481,9681,
Calcasieu,10243,24233,3151,
Caldwell,716,694,631,
Cameron,322,1944,74,
Catahoula,971,558,603,
Claiborne,1336,489,2029,
Concordia,1009,768,1554,
De Soto,1603,1183,1653,
East Baton Rouge,17749,26326,12360,
East Carroll,448,364,712,
East Feliciana,313,475,1139,
Evangeline,1105,7865,794,
Franklin,1336,1213,1490,
Grant,1254,1219,1409,
Iberia,3551,9235,2684,
Iberville,1000,4558,751,
Jackson,1799,1398,903,
Jefferson,17215,32119,13304,
Jefferson Davis,2251,5904,557,
Lafayette,6047,14132,2505,
Lafourche,2930,12244,881,
La Salle,2123,843,876,
Lincoln,2766,1051,1292,
Livingston,954,2881,2793,
Madison,629,235,1024,
Morehouse,2551,1085,1144,
Natchitoches,2562,2781,1717,
Orleans,47111,87242,41414,
Ouachita,10525,5202,3564,
Plaquemines,712,1087,3347,
Pointe Coupee,674,2953,485,
Rapides,8155,9651,5976,
Red River,406,377,1134,
Richland,1378,996,1495,
Sabine,2419,2412,1058,
St. Bernard,1431,4660,4858,
St. Charles,1377,4708,517,
St. Helena,296,678,835,
St. James,620,4362,332,
St. John the Baptist,488,3782,450,
St. Landry,3083,14625,2554,
St. Martin,858,5506,699,
St. Mary,2992,6671,1169,
St. Tammany,2850,5179,3034,
Tangipahoa,3285,6648,4418,
Tensas,510,247,451,
Terrebonne,3126,8992,1092,
Union,2017,1034,1012,
Vermilion,2170,11257,1168,
Vernon,1991,3145,1024,
Washington,1847,5678,3875,
Webster,3139,1273,3255,
West Baton Rouge,390,2315,436,
West Carroll,742,784,897,
West Feliciana,196,271,424,
Winn,1839,1108,1149,
