1980 US Presidential Election,Reagan,Carter,Anderson,
Alabama,654192,636730,16481,
Alaska,86112,41842,11155,
Arizona,529688,246843,76952,
Arkansas,403164,398041,22468,
California,4524858,3083661,739833,
Colorado,652264,367973,130633,
Connecticut,677210,541732,171807,
Delaware,111252,105754,16288,
District of Columbia,23313,130231,16131,
Florida,2046951,1419475,189692,
Georgia,654168,890733,36055,
Hawaii,130112,135879,32021,
Idaho,290699,110192,27058,
Illinois,2358049,1981413,346754,
Indiana,1255656,844197,111639,
Iowa,676026,508672,115633,
Kansas,566812,326150,68231,
Kentucky,635274,616417,31127,
Louisiana,792853,708453,26345,
Maine,238522,220974,53327,
Maryland,680606,726161,119537,
Massachusetts,1057631,1053802,382539,
Michigan,1915225,1661532,275223,
Minnesota,873241,954174,174990,
Mississippi,441089,429281,12036,
Missouri,1074181,931182,77920,
Montana,206814,118032,29281,
Nebraska,419937,166851,44993,
Nevada,155017,66666,17651,
New Hampshire,221705,108864,49693,
New Jersey,1546557,1147364,234632,
New Mexico,250779,167826,29459,
New York,2893831,2728372,467801,
North Carolina,915018,875635,52800,
North Dakota,193695,79189,23640,
Ohio,2206545,1752414,254472,
Oklahoma,695570,402026,38284,
Oregon,571044,456890,112389,
Pennsylvania,2261872,1937540,292921,
Rhode Island,154793,198342,59819,
South Carolina,441207,427560,14150,
South Dakota,198343,103855,21431,
Tennessee,787761,783051,35991,
Texas,2510705,1881147,111613,
Utah,439687,124266,30284,
Vermont,94598,81891,31760,
Virginia,989609,752174,95418,
Washington,865244,650193,185073,
West Virginia,334206,367462,31691,
Wisconsin,1088845,981584,160657,
Wyoming,110700,49427,12072,
