1980 US Presidential Election,Reagan,Carter,Anderson,
Aitkin,3396,3677,380,
Anoka,33100,45532,6828,
Becker,6848,5221,866,
Beltrami,6481,7432,1254,
Benton,5513,5272,646,
Big Stone,1950,1814,249,
Blue Earth,11966,10930,2698,
Brown,8051,4915,842,
Carlton,4760,8822,883,
Carver,9909,6621,1496,
Cass,6119,4717,434,
Chippewa,4252,3164,532,
Chisago,5017,6240,939,
Clay,10447,8940,2773,
Clearwater,1919,1955,185,
Cook,1147,871,182,
Cottonwood,4258,2958,535,
Crow Wing,10844,9323,1046,
Dakota,40708,43433,8588,
Dodge,3900,2698,367,
Douglas,7778,5530,844,
Faribault,6206,3620,525,
Fillmore,6452,4010,650,
Freeborn,8475,8212,808,
Goodhue,9329,8566,1964,
Grant,2054,1822,333,
Hennepin,194898,239592,56390,
Houston,5582,3218,477,
Hubbard,4172,2840,365,
Isanti,4480,5457,641,
Itasca,8368,12134,1080,
Jackson,3391,3062,463,
Kanabec,2500,2654,269,
Kandiyohi,8480,8038,1244,
Kittson,1875,1407,243,
Koochiching,3433,4181,496,
Lac Qui Parle,2981,2457,334,
Lake,2414,3864,443,
Lake of the Woods,1052,763,128,
Le Sueur,5478,5161,731,
Lincoln,2122,1640,295,
Lyon,5852,5626,1129,
McLeod,7819,4987,852,
Mahnomen,1275,1175,153,
Marshall,3638,2636,397,
Martin,7057,4301,751,
Meeker,5032,4238,668,
Mille Lacs,3860,4443,550,
Morrison,6296,6930,559,
Mower,7908,10538,1465,
Murray,3004,2714,359,
Nicollet,6436,5400,1519,
Nobles,4706,4703,657,
Norman,2192,2253,369,
Olmsted,22704,13983,3638,
Otter Tail,15091,9108,1538,
Pennington,3715,3101,465,
Pine,3899,5121,467,
Pipestone,3207,2392,561,
Polk,9036,7151,1207,
Pope,3159,2527,354,
Ramsey,78860,124774,23222,
Red Lake,1223,1318,116,
Redwood,5993,2952,548,
Renville,5544,4058,653,
Rice,8168,9531,2414,
Rock,3164,2089,397,
Roseau,3358,2616,259,
St. Louis,33407,69403,8719,
Scott,9018,9115,1475,
Sherburne,6035,6229,985,
Sibley,4460,2521,509,
Stearns,24888,21862,3555,
Steele,7805,5095,1087,
Stevens,3283,2559,524,
Swift,2943,3245,511,
Todd,6451,4975,451,
Traverse,1574,1258,159,
Wabasha,4986,3712,549,
Wadena,4089,2635,265,
Waseca,4801,3535,777,
Washington,22718,25634,5050,
Watonwan,3629,2442,415,
Wilkin,2224,1496,318,
Winona,10332,9814,1780,
Wright,12293,12383,1692,
Yellow Medicine,4004,2833,456,
