2012 US Presidential Election,Romney,Obama,Other,
Aitkin,4533,4412,197,
Anoka,93430,88614,4421,
Becker,9204,6829,349,
Beltrami,9637,11818,596,
Benton,10849,8173,597,
Big Stone,1385,1345,59,
Blue Earth,14916,18164,1194,
Brown,7938,5630,361,
Carlton,6586,11389,461,
Carver,31155,20745,999,
Cass,8957,6858,326,
Chippewa,2967,3083,151,
Chisago,16227,12524,690,
Clay,12920,15208,758,
Clearwater,2359,1753,85,
Cook,1221,1993,108,
Cottonwood,3316,2433,113,
Crow Wing,19415,14760,745,
Dakota,109516,116255,5050,
Dodge,5522,4487,318,
Douglas,11884,8653,416,
Faribault,4104,3407,202,
Fillmore,4913,5713,266,
Freeborn,6969,9326,411,
Goodhue,12986,12212,603,
Grant,1748,1647,92,
Hennepin,240073,423982,16010,
Houston,4951,5281,214,
Hubbard,6622,4676,222,
Isanti,11675,8024,518,
Itasca,10501,12852,566,
Jackson,3044,2268,118,
Kanabec,4328,3593,229,
Kandiyohi,11240,9805,420,
Kittson,1095,1241,84,
Koochiching,2841,3451,166,
Lac Qui Parle,1938,1974,72,
Lake,2610,4043,167,
Lake of the Woods,1306,859,69,
Le Sueur,7715,6753,327,
Lincoln,1595,1429,96,
Lyon,6594,5465,329,
McLeod,11069,6968,516,
Mahnomen,871,1276,35,
Marshall,2569,1998,131,
Martin,6657,4054,257,
Meeker,6913,4969,332,
Mille Lacs,6951,5829,311,
Morrison,10159,6153,402,
Mower,6938,11129,472,
Murray,2504,2160,103,
Nicollet,8214,9652,491,
Nobles,4581,3793,146,
Norman,1384,1730,93,
Olmsted,36832,39338,2146,
Otter Tail,18860,12165,645,
Pennington,3305,3024,188,
Pine,6845,6750,370,
Pipestone,2826,1725,95,
Polk,7615,6773,305,
Pope,3142,2981,123,
Ramsey,86800,184938,7084,
Red Lake,978,928,69,
Redwood,4570,3008,212,
Renville,4149,3394,167,
Rice,14384,17054,829,
Rock,2810,1946,90,
Roseau,4409,2772,171,
St. Louis,39131,73378,3085,
Scott,40323,29712,1612,
Sherburne,27848,17597,1064,
Sibley,4693,2916,206,
Stearns,43015,33551,1911,
Steele,9903,8706,515,
Stevens,2766,2742,144,
Swift,2248,2751,120,
Todd,6719,4819,265,
Traverse,861,943,43,
Wabasha,6049,5415,299,
Wadena,4143,2492,156,
Waseca,5116,4370,261,
Washington,69137,70203,2793,
Watonwan,2517,2494,133,
Wilkin,1884,1258,80,
Winona,11480,14980,772,
Wright,40466,25741,1609,
Yellow Medicine,2806,2465,143,
