2012 US Presidential Election,Romney,Obama,Other,
Anderson,18968,10122,569,
Bedford,10034,4211,200,
Benton,3850,2258,118,
Bledsoe,3022,1267,70,
Blount,35441,12934,859,
Bradley,27422,8037,637,
Campbell,8604,3328,169,
Cannon,3309,1564,100,
Carroll,7225,3475,151,
Carter,15503,4789,325,
Cheatham,10268,4659,255,
Chester,4684,1624,102,
Claiborne,7617,2433,128,
Clay,1747,1037,36,
Cocke,8459,2804,191,
Coffee,13023,5870,366,
Crockett,3783,1669,46,
Cumberland,18653,6261,384,
Davidson,97622,143120,4792,
Decatur,2874,1303,74,
DeKalb,4143,2174,116,
Dickson,11296,6233,306,
Dyer,9921,3757,138,
Fayette,12689,6688,197,
Fentress,5243,1561,91,
Franklin,10262,5603,254,
Gibson,12883,6564,220,
Giles,6915,3760,124,
Grainger,5470,1668,114,
Greene,17245,6225,417,
Grundy,2516,1643,78,
Hamblen,14522,5234,276,
Hamilton,79933,58836,2972,
Hancock,1527,475,44,
Hardeman,4865,5482,92,
Hardin,7886,2467,142,
Hawkins,14382,5088,367,
Haywood,2960,4569,40,
Henderson,7421,2517,117,
Henry,8193,4339,207,
Hickman,4758,2698,146,
Houston,1579,1400,48,
Humphreys,3833,2905,125,
Jackson,2383,1739,62,
Jefferson,13038,4232,289,
Johnson,4611,1483,100,
Knox,109707,59399,3401,
Lake,1163,884,40,
Lauderdale,4616,4011,62,
Lawrence,10770,4237,212,
Lewis,3117,1447,130,
Lincoln,9803,3290,175,
Loudon,16707,5058,308,
McMinn,12967,4609,258,
McNairy,7015,2645,142,
Macon,5260,1552,93,
Madison,21993,18367,342,
Marion,6272,3953,184,
Marshall,6832,3725,184,
Maury,20708,11825,473,
Meigs,2734,1163,67,
Monroe,11731,4372,235,
Montgomery,30245,24499,976,
Moore,2053,705,41,
Morgan,4669,1725,110,
Obion,8814,3321,162,
Overton,4775,2805,84,
Perry,1578,992,51,
Pickett,1712,712,29,
Polk,4108,1856,95,
Putnam,17254,7802,444,
Rhea,7802,2628,160,
Roane,14724,6018,348,
Robertson,17643,8290,356,
Rutherford,60846,36414,1588,
Scott,5117,1452,99,
Sequatchie,3541,1489,123,
Sevier,25984,7418,462,
Shelby,135649,232443,3524,
Smith,4495,2470,124,
Stewart,2963,2069,83,
Sullivan,43562,15321,1004,
Sumner,46003,18579,875,
Tipton,16672,7133,276,
Trousdale,1612,1240,53,
Unicoi,5032,1913,141,
Union,4282,1478,78,
Van Buren,1386,875,39,
Warren,8010,4752,253,
Washington,32808,14325,899,
Wayne,4253,1163,70,
Weakley,8605,3548,184,
White,6197,2795,148,
Williamson,69850,25142,1233,
Wilson,36109,14695,793,
