2012 US Presidential Election,Romney,Obama,Other,
Adams,8937,3806,289,
Allen,84613,60036,2597,
Bartholomew,18083,10625,684,
Benton,2329,1159,90,
Blackford,2711,1927,122,
Boone,18808,8328,646,
Brown,4332,3060,212,
Carroll,4999,2635,176,
Cass,8443,5371,347,
Clark,25450,20807,1021,
Clay,7096,3460,249,
Clinton,6338,3308,237,
Crawford,2421,2041,128,
Daviess,7638,2437,175,
Dearborn,15394,6528,434,
Decatur,7119,2941,267,
DeKalb,10587,5419,354,
Delaware,21251,22654,1169,
Dubois,11654,6522,395,
Elkhart,42378,24399,1252,
Fayette,5045,3555,237,
Floyd,19878,14812,702,
Fountain,4664,2237,210,
Franklin,7424,2909,227,
Fulton,5317,2621,188,
Gibson,9487,4928,306,
Grant,15151,9589,589,
Greene,8457,4350,304,
Hamilton,90747,43796,2546,
Hancock,22796,9319,728,
Harrison,10640,6607,424,
Hendricks,44312,21112,1337,
Henry,10838,7613,556,
Howard,20327,15135,829,
Huntington,10862,4596,339,
Jackson,10419,5838,455,
Jasper,7955,4672,293,
Jay,4645,3063,193,
Jefferson,7096,5728,332,
Jennings,6120,3821,309,
Johnson,39513,17260,1319,
Knox,9612,5228,305,
Kosciusko,22558,6862,720,
LaGrange,6231,2898,187,
Lake,68431,130897,2819,
LaPorte,18615,24107,959,
Lawrence,11622,5779,469,
Madison,26769,24407,1334,
Marion,136509,216336,7127,
Marshall,11260,6137,404,
Martin,3262,1351,130,
Miami,8174,4222,417,
Monroe,22481,33436,1306,
Montgomery,9824,4271,345,
Morgan,19591,7969,706,
Newton,3291,2212,169,
Noble,10680,5229,364,
Ohio,1759,994,66,
Orange,4617,2939,220,
Owen,5062,2823,228,
Parke,4234,2110,171,
Perry,3403,4316,156,
Pike,3627,2125,174,
Porter,34406,37252,1643,
Posey,7430,4533,263,
Pulaski,3366,1899,134,
Putnam,9005,4507,317,
Randolph,6218,3769,215,
Ripley,7484,3241,290,
Rush,4633,2221,172,
St. Joseph,52578,56460,1971,
Scott,4539,3998,183,
Shelby,10978,5359,423,
Spencer,5515,4026,203,
Starke,4738,3809,207,
Steuben,8547,4853,295,
Sullivan,4902,3191,197,
Switzerland,1872,1437,88,
Tippecanoe,28757,26711,1428,
Tipton,4773,2432,168,
Union,2022,1018,64,
Vanderburgh,39389,31725,1474,
Vermillion,3426,2979,198,
Vigo,19369,19712,924,
Wabash,8644,3973,278,
Warren,2377,1324,99,
Warrick,15351,8793,526,
Washington,6533,3909,295,
Wayne,14321,10591,565,
Wells,9256,3436,260,
White,5970,3637,328,
Whitley,10258,4420,333,
