2012 US Presidential Election,Romney,Obama,Other,
Alabama,1255925,795696,22717,
Alaska,164676,122640,13179,
Arizona,1233654,1025232,47673,
Arkansas,647744,394409,27315,
California,4839958,7854285,360745,
Colorado,1185243,1323101,63434,
Connecticut,634899,905109,18985,
Delaware,165484,242584,5853,
District of Columbia,21381,267070,5313,
Florida,4163447,4237756,90972,
Georgia,2078688,1773827,55854,
Hawaii,121015,306658,7024,
Idaho,420911,212787,23044,
Illinois,2135216,3019512,92444,
Indiana,1420543,1152887,55584,
Iowa,730617,822544,29019,
Kansas,689809,439908,26537,
Kentucky,1087190,679370,30652,
Louisiana,1152262,809141,32662,
Maine,292276,401306,19598,
Maryland,971869,1677844,57613,
Massachusetts,1188460,1921761,57546,
Michigan,2115256,2564569,61741,
Minnesota,1320225,1546167,70169,
Mississippi,710746,562949,11889,
Missouri,1482440,1223796,56065,
Montana,267928,201839,14717,
Nebraska,475064,302081,17234,
Nevada,463567,531373,19978,
New Hampshire,329918,369561,11493,
New Jersey,1478749,2126610,45774,
New Mexico,335788,415335,32634,
New York,2490496,4485877,105163,
North Carolina,2270395,2178391,56586,
North Dakota,188320,124966,9646,
Ohio,2661437,2827709,101785,
Oklahoma,891325,443547,0,
Oregon,754175,970488,64607,
Pennsylvania,2680434,2990274,84149,
Rhode Island,157204,279677,9168,
South Carolina,1071645,865941,26532,
South Dakota,210610,145039,8166,
Tennessee,1462330,960709,37865,
Texas,4569843,3308124,118140,
Utah,740600,251813,28234,
Vermont,92698,199239,7353,
Virginia,1822522,1971820,60147,
Washington,1290670,1755396,99892,
West Virginia,417655,238269,14743,
Wisconsin,1407966,1620985,39483,
Wyoming,170962,69286,8813,
