2012 US Presidential Election,Romney,Obama,Other,
District 1,5899,1518,305,
District 2,5509,3096,453,
District 3,3769,2034,266,
District 4,3586,2864,337,
District 5,4027,3644,472,
District 6,5254,2145,394,
District 7,5247,1962,366,
District 8,5826,2083,333,
District 9,5432,1667,309,
District 10,4928,1344,298,
District 11,6057,2222,352,
District 12,4300,1901,281,
District 13,3078,2425,204,
District 14,3453,3340,275,
District 15,2875,3283,293,
District 16,2876,4013,292,
District 17,1542,2853,194,
District 18,2369,4247,314,
District 19,3855,4126,305,
District 20,4544,3081,339,
District 21,5262,3316,288,
District 22,3445,2859,251,
District 23,4926,3167,277,
District 24,3912,3128,249,
District 25,4569,3739,353,
District 26,6968,3169,354,
District 27,6015,4463,345,
District 28,5882,2188,379,
District 29,5774,1933,304,
District 30,5492,3578,435,
District 31,4219,4679,437,
District 32,3095,5930,503,
District 33,4289,2716,466,
District 34,3523,4662,452,
District 35,3804,2830,298,
District 36,1386,3341,245,
District 37,1517,2631,187,
District 38,2259,4101,454,
District 39,2566,3645,349,
District 40,1347,2717,171,
